orden;sections;trd;subject;code;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
1.0;GI;2 AÑOS;2016-F-GI-01-RADICACIÓN Y DISTRIBUCIÓN DE CORRESPONDENCIA ENVIADA RECIBIDA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
2.0;GI;2 AÑOS;2016-F-GI-02-RADICACIÓN DE CORRESPONDENCIA ENVIADA ENVIADA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
3.0;GI;2 AÑOS;2016-F-GI-04-ENTRADA DE DOCUMENTOS AL ARCHIVO CENTRAL;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
4.0;GI;5 AÑOS;2016-F-GI-05-DEPURACIÓN DE ARCHIVO;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
5.0;GI;5 AÑOS;2016-N.A-GI - CORRESPONDENCIA ENVIADA;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
6.0;GI;5 AÑOS;2016-N.A-GI - CIRCULARES;2016;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
