String;String;String;Sections
name;code;dir;
GD - GESTIÓN DIRECTIVA;GD;;
AM - ADMISIONES Y MATRICULAS;AM;;
GE - GESTIÓN EDUCATIVA;GE;;
GT - GESTIÓN DEL TALENTO HUMANO;GT;;
GF - GESTIÓN FINANCIERA;GF;;
GC - GESTIÓN DE COMPRAS;GC;;
SG - SERVICIOS GENERALES;SG;;
SC - SERVICIOS COMPLEMENTARIOS;SC;;
GQ - GESTIÓN DE LA CALIDAD;GQ;;
GI - GESTIÓN DE LA INFORMACIÓN;GI;;
