From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=50;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=INDEFINIDO;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;1 AÑO;Trd;name;GESTION=1 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;10 AÑOS;Trd;name;GESTION=10 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;10 AÑOS;Trd;name;GESTION=10 Y CENTRAL=N.A;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=100;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=20;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
DocumentalRetention;name;2 AÑOS;Trd;name;GESTION=2 Y CENTRAL=5;gestion;Uno a Muchos Bidirecccional No.5
