String;String;PhysicalSpacesTypes
name;code;
Fachada;S01;
Local;S02;
Baño;S03;
Cocina;S04;
Rincon;S05;
Estudio;S06;
Sala;S07;
Comedor;S08;
Sala Comedor;S09;
Alcoba;S10;
Patio;S11;
Balcon;S12;
Escaleras;S13;
Pasillo;S14;
placa;S15;
Area Común;S16;
Garajes;S17;
Ingresos;S18;
Patios;S19;
