name
Fachada
Ingreso Escalera 1 Piso
Escalera 1 Piso
Pasillo 2 piso
placa 2 piso
placa 3 piso
Local L1
Baño L1
Cocina L1
Local L2
Rincon L2
Baño L2
Local L3
Rincon  L3
Baño  L3
Local  L4
Cocina  L4
Alcoba  L4
Patio  L4
Baño  L4
Local  L5
Baño  L5
Sala Comedor A201
Cocina A201
Alcoba Principal A201
Alcoba Secundaria  A201
Baño A201
Sala Comedor A202
Baño A202
Cocina A202
Baño Cocina A202
Alcoba Principal A202
Alcoba Secundaria A202
