name
ALFABêTICA
ALFABêTICO - CARPETA EMPLEADO
ALFABêTICO - CARPETA ESTUDIANTE
µREAS O ASIGNATURAS
CONSECUTIVO NUMêRICO
CRONOL‡GICA
CRONOL‡GICO (FECHA)
CURSO
CURSO O GRADO Y ALFABêTICO
CURSO O GRADO Y CRONOL‡GICO
CURSO Y/O DOCENTE
PROCESO
