String;String;PhysicalAreasTypes
name;code;
Portones;A01;
Puertas;A02;
Marcos Portones;A03;
Marcos Puertas;A04;
Paredes;A05;
Ventanas;A06;
Marco Ventanas;A07;
Filos;A08;
columnas;A09;
Vacios;A10;
Pisos;A11;
Guardaescobas;A12;
Techos;A13;
