From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Marco Porton Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Filo Marco Porton Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Pared Fachada Interior Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Pared Frontal Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Pared Lado Derecho Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Pared Lado Izquierdo Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Filo Columna PFI Local  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Filo Columna PLI Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Ventana PLD Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Marco Ventana PLD Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Filo Marco Ventana PLD Local L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Piso Local  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Guardascoba Local  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L2;PhysicalAreas;name;Techo Local  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Marco Puerta Rincon L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Filo Marco Puerta Rincon L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Pared Fachada Interior Rincon L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Pared Frontal Rincon L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Pared Lado Derecho Rincon L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Filo Columna PLD Rincon L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Piso Rincon  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Guardascoba Rincon  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon L2;PhysicalAreas;name;Techo Rincon  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Puerta Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Marco Puerta Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Pared Frontal Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Pared Lado Derecho Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Pared Lado Izquierdo Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Filo Columna PLI Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Marco Vacio PLI Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Filo Marco Vacio PLI Baño L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Piso Baño  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Guardascoba Baño  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño L2;PhysicalAreas;name;Techo Baño  L2;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Porton Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Marco Porton Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Filo Marco Porton Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Pared Fachada Interior Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Pared Frontal Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Pared Lado Derecho Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Pared Lado Izquierdo Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Filo1 Columna PFI Local  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Filo2 Columna PFI Local  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Filo Columna PLD Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Filo Columna PLI Local L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Filos Marco Caja Eléctrica L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Piso Local  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Guardascoba Local  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local L3;PhysicalAreas;name;Techo Local  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Marco Puerta Rincon L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Filo Marco Puerta Rincon L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Pared Fachada Interior Rincon L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Pared Frontal Rincon L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Pared Lado Derecho Rincon L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Piso Rincon  L3;;Muchos a Muchos Bidirecccional No.7
