From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Pisos;PhysicalAreas;name;Piso Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Pisos;PhysicalAreas;name;Piso Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Pisos;PhysicalAreas;name;Piso Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Pisos;PhysicalAreas;name;Piso L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Pisos;PhysicalAreas;name;Piso Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Pisos;PhysicalAreas;name;Piso Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Portones;PhysicalAreas;name;Porton Local L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Portones;PhysicalAreas;name;Porton Local L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Techos;PhysicalAreas;name;Techo Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Techos;PhysicalAreas;name;Techo Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Techos;PhysicalAreas;name;Techo Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Techos;PhysicalAreas;name;Techo L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Techos;PhysicalAreas;name;Techo Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Techos;PhysicalAreas;name;Techo Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marco Ventanas;PhysicalAreas;name;Vacio Pared Frontal Cocina L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Ventanas;PhysicalAreas;name;Ventana PLD Local L2;;Uno a Muchos Bidirecccional No.5
