From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;LOCAL No.1;       ;Uno a Muchos Bidirecccional No.5
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;LOCAL No.2;;Uno a Muchos Bidirecccional No.5
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;LOCAL No.3;;Uno a Muchos Bidirecccional No.5
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;LOCAL No.4;;Uno a Muchos Bidirecccional No.5
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;LOCAL No.5;;Uno a Muchos Bidirecccional No.5
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;APTO 201;;Uno a Muchos Bidirecccional No.5
PhysicalAreas;nomenclatura;C 26 22 138;PhysicalAreas;nomenclatura;APTO 202;;Uno a Muchos Bidirecccional No.5
