String;String;Double;Double;Double;Double;Double;PhysicalAreas
name;code;width;high;prof;area;volume;
Techo Local  L4;;;;;;;
Marco Puerta Cocina L4;;;;;;;
Pared Frontal Cocina L4;;;;;;;
Pared Lado Derecho Cocina L4;;;;;;;
Pared Lado Izquierdo Cocina L4;;;;;;;
Piso Cocina  L4;;;;;;;
Guardascoba Cocina L4;;;;;;;
Techo Cocina  L4;;;;;;;
Puerta Alcoba L4;;;;;;;
Marco Puerta Alcoba L4;;;;;;;
Filo Marco Puerta Alcoba L4;;;;;;;
Pared Fachada Interior Alcoba L4;;;;;;;
Pared Frontal Alcoba L4;;;;;;;
Pared Lado Derecho Alcoba L4;;;;;;;
Pared Lado Izquierdo Alcoba L4;;;;;;;
Ventana PLD Alcoba L4;;;;;;;
Marco Ventana PLD Alcoba L4;;;;;;;
Filo Marco Ventana PLD Alcoba L4;;;;;;;
Filo1 Columna PFI Alcoba L4;;;;;;;
Filo2 Columna PFI Alcoba L4;;;;;;;
Filo Columna PFR Alcoba L4;;;;;;;
Filo1 Columna PLI Alcoba L4;;;;;;;
Filo2 Columna PLI Alcoba L4;;;;;;;
Piso Alcoba  L4;;;;;;;
Guardascoba Alcoba L4;;;;;;;
Techo Alcoba  L4;;;;;;;
Marco Puerta Patio L4;;;;;;;
Filo Puerta Patio L4;;;;;;;
Pared Fachada Interior Patio L4;;;;;;;
Pared Frontal Patio L4;;;;;;;
Pared Lado Derecho Patio L4;;;;;;;
Pared Lado Izquierdo Patio L4;;;;;;;
Filo Columna PFR Patio L4;;;;;;;
Filo Columna PLI Patio L4;;;;;;;
Marco Vacio PFI Patio L4;;;;;;;
Piso Patio  L4;;;;;;;
Guardascoba Patio L4;;;;;;;
Techo Patio  L4;;;;;;;
Puerta Baño L4;;;;;;;
Marco Puerta Baño L4;;;;;;;
Filo Marco Puerta Baño L4;;;;;;;
Pared Fachada Interior Baño L4;;;;;;;
Pared Frontal Baño L4;;;;;;;
Pared Lado Derecho Baño L4;;;;;;;
Pared Lado Izquierdo Baño L4;;;;;;;
Filo Columna PFR Baño L4;;;;;;;
Filo Columna PLI Baño L4;;;;;;;
Piso Baño  L4;;;;;;;
Guardascoba Baño L4;;;;;;;
Techo Baño  L4;;;;;;;
Porton Local L5;;;;;;;
Marco Porton Local L5;;;;;;;
Filo Marco Porton Local L5;;;;;;;
Pared Fachada Interior Local L5;;;;;;;
Pared Frontal Local L5;;;;;;;
Pared Lado Derecho Local L5;;;;;;;
Pared Lado Izquierdo Local L5;;;;;;;
Filos Columnas PFI Local  L5;;;;;;;
Piso Local  L5;;;;;;;
Guardascoba Local  L5;;;;;;;
Techo Local  L5;;;;;;;
Puerta Baño L5;;;;;;;
Marco Puerta Baño L5;;;;;;;
Filo Marco Puerta Baño L5;;;;;;;
Pared Fachada Interior Baño L5;;;;;;;
Pared Frontal Baño L5;;;;;;;
Pared Lado Derecho Baño L5;;;;;;;
Pared Lado Izquierdo Baño L5;;;;;;;
Piso Baño  L5;;;;;;;
Guardascoba Baño  L5;;;;;;;
Techo Baño  L5;;;;;;;
Puerta A201;;;;;;;
Marco Puerta A201;;;;;;;
Filo Marco Puerta A201;;;;;;;
Pared Frontal Pasillo A201;;;;;;;
Pared Lado Derecho Pasillo A201;;;;;;;
Pared Lado Izquierdo Pasillo A201;;;;;;;
Piso Pasillo A201;;;;;;;
Guardascoba Pasillo A201;;;;;;;
Techo Pasillo A201;;;;;;;
Marco Puerta Sala Comedor A201;;;;;;;
Filo Marco Puerta Sala Comedor A201;;;;;;;
Pared Fachada Interior Sala Comedor A201;;;;;;;
Pared Frontal Sala Comedor A201;;;;;;;
Pared Lado Derecho Sala Comedor A201;;;;;;;
Pared Lado Izquierdo Sala Comedor A201;;;;;;;
Ventana PFR Sala Comedor A201;;;;;;;
Marco Ventana PFR Sala Comedor A201;;;;;;;
Filo Columna PFR Sala Comedor A201;;;;;;;
Filo1 Columna PLD Sala Comedor A201;;;;;;;
Filo2 Columna PLD Sala Comedor A201;;;;;;;
Filo1 Horizontal PFR Sala Comedor A201;;;;;;;
Filo2 Horizontal PFR Sala Comedor A201;;;;;;;
Columna Sala Comedor A201;;;;;;;
Piso Sala Comedor A201;;;;;;;
Guardascoba Sala Comedor A201;;;;;;;
Techo Sala Comedor A201;;;;;;;
Puerta Alcoba1 A201;;;;;;;
Marco Puerta Alcoba1 A201;;;;;;;
Filo Marco Puerta Alcoba1 A201;;;;;;;
Pared Fachada Interior Alcoba1 A201;;;;;;;
Pared Frontal Alcoba1 A201;;;;;;;
Pared Lado Derecho Alcoba1 A201;;;;;;;
Pared Lado Izquierdo Alcoba1 A201;;;;;;;
Ventana PFR Alcoba1 A201;;;;;;;
Marco Ventana PFR Alcoba1 A201;;;;;;;
Filo Marco Ventana PFR Alcoba1 A201;;;;;;;
Piso Alcoba1 A201;;;;;;;
Guardascoba Alcoba1 A201;;;;;;;
Techo Alcoba1 A201;;;;;;;
Puerta Baño A201;;;;;;;
Marco Puerta Baño A201;;;;;;;
Filo Marco Puerta Baño A201;;;;;;;
Pared Fachada Interior Baño A201;;;;;;;
Pared Frontal Baño A201;;;;;;;
Pared Lado Derecho Baño A201;;;;;;;
Pared Lado Izquierdo Baño A201;;;;;;;
Marco Vacio PFI Baño A201;;;;;;;
Filo Marco Vacio PFI Baño A201;;;;;;;
Filo Columna PFR Baño A201;;;;;;;
Filo Columna PLD Baño A201;;;;;;;
Piso Baño A201;;;;;;;
Guardascoba Baño A201;;;;;;;
Techo Baño A201;;;;;;;
Puerta Alcoba2 A201;;;;;;;
Marco Puerta Alcoba2 A201;;;;;;;
Filo Marco Puerta Alcoba2 A201;;;;;;;
Pared Fachada Interior Alcoba2 A201;;;;;;;
Pared Frontal Alcoba2 A201;;;;;;;
Pared Lado Derecho Alcoba2 A201;;;;;;;
Pared Lado Izquierdo Alcoba2 A201;;;;;;;
Marco Vacio PFI Alcoba2 A201;;;;;;;
Filo Marco Vacio PFI Alcoba2 A201;;;;;;;
Marco Ventana Calados PFR Alcoba2 A201;;;;;;;
Filo1 Columna PFI Alcoba2 A201;;;;;;;
Filo2 Columna PFI Alcoba2 A201;;;;;;;
Filo3 Columna PFI Alcoba2 A201;;;;;;;
Filo4 Columna PFI Alcoba2 A201;;;;;;;
Filo5 Horizontal PFI Alcoba2 A201;;;;;;;
Filo1 Columna PLI Alcoba2 A201;;;;;;;
Piso Alcoba2 A201;;;;;;;
Guardascoba Alcoba2 A201;;;;;;;
Techo Alcoba2 A201;;;;;;;
Marco Vacio Balcon A201;;;;;;;
Pared Fachada Interior Balcon A201;;;;;;;
Pared Frontal Balcon A201;;;;;;;
Pared Lado Derecho Balcon A201;;;;;;;
Pared Lado Izquierdo Balcon A201;;;;;;;
Ventana Balcon A201;;;;;;;
Marco Ventana PFR Balcon A201;;;;;;;
Filo Marco Ventana PFR Balcon A201;;;;;;;
Piso Balcon A201;;;;;;;
Guardascoba Balcon A201;;;;;;;
Techo Balcon A201;;;;;;;
Puerta Cocina A201;;;;;;;
Marco Puerta Cocina A201;;;;;;;
Filo Marco Puerta Cocina A201;;;;;;;
Pared Fachada Interior Cocina A201;;;;;;;
Pared Frontal Cocina A201;;;;;;;
Pared Lado Derecho Cocina A201;;;;;;;
Pared Lado Izquierdo Cocina A201;;;;;;;
Filo Columna PFR Cocina A201;;;;;;;
Filo Columna PLD Cocina A201;;;;;;;
Piso Cocina A201;;;;;;;
Guardascoba Cocina A201;;;;;;;
Techo Local Cocina A201;;;;;;;
Puerta A202;;;;;;;
Marco Puerta A202;;;;;;;
Filo Marco Puerta A202;;;;;;;
Pared Frontal Pasillo A202;;;;;;;
Pared Lado Derecho Pasillo A202;;;;;;;
Pared Lado Izquierdo Pasillo A202;;;;;;;
Filo1 Columna PFI Pasillo A202;;;;;;;
Piso Pasillo A202;;;;;;;
Guardascoba Pasillo A202;;;;;;;
Techo Pasillo A202;;;;;;;
Pared Fachada Interior Sala Comedor A202;;;;;;;
Pared Frontal Sala Comedor A202;;;;;;;
Pared Lado Derecho Sala Comedor A202;;;;;;;
Pared Lado Izquierdo Sala Comedor A202;;;;;;;
Ventana PLD Sala Comedor A202;;;;;;;
Marco Ventana PLD Sala Comedor A202;;;;;;;
Filo Marco Ventana PLD Sala Comedor A202;;;;;;;
Filo1 Columna PFR Sala Comedor A202;;;;;;;
Filo2 Columna PFR Sala Comedor A202;;;;;;;
Piso Sala Comedor A202;;;;;;;
Guardascoba Sala Comedor A202;;;;;;;
Techo Sala Comedor A202;;;;;;;
Puerta Alcoba1 A202;;;;;;;
Marco Puerta Alcoba1 A202;;;;;;;
Filo Marco Puerta Alcoba1 A202;;;;;;;
Pared Fachada Interior Alcoba1 A202;;;;;;;
Pared Frontal Alcoba1 A202;;;;;;;
Pared Lado Derecho Alcoba1 A202;;;;;;;
Pared Lado Izquierdo Alcoba1 A202;;;;;;;
Ventana PFR Alcoba1 A202;;;;;;;
Marco Ventana PFR Alcoba1 A202;;;;;;;
Filo Marco Ventana PFR Alcoba1 A202;;;;;;;
Filo Columna PLD Alcoba1 A202;;;;;;;
Filo Columna PLI Alcoba1 A202;;;;;;;
Piso Alcoba1 A202;;;;;;;
Guardascoba Alcoba1 A202;;;;;;;
Techo Alcoba1 A202;;;;;;;
Puerta Balcon Alcoba1 A202;;;;;;;
