From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Porton Local L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Alcoba1 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Balcon A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Balcon Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Balcon Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño L1;;Uno a Muchos Bidirecccional No.5
