port;code
R06SW1-08;R06SW1-08
R06SW1-09;R06SW1-09
R06SW1-10;R06SW1-10
R06SW1-11;R06SW1-11
R06SW1-12;R06SW1-12
R06SW1-13;R06SW1-13
R06SW1-14;R06SW1-14
R06SW1-15;R06SW1-15
R06SW1-16;R06SW1-16
R06SW1-17;R06SW1-17
R06SW1-18;R06SW1-18
R06SW1-19;R06SW1-19
R06SW1-20;R06SW1-20
R06SW1-21;R06SW1-21
R06SW1-22;R06SW1-22
R06SW1-23;R06SW1-23
R06SW1-24;R06SW1-24
R07SW1-01;R07SW1-01
R07SW1-02;R07SW1-02
R07SW1-03;R07SW1-03
R07SW1-04;R07SW1-04
R07SW1-05;R07SW1-05
R07SW1-06;R07SW1-06
R07SW1-07;R07SW1-07
R07SW1-08;R07SW1-08
R07SW1-09;R07SW1-09
R07SW1-10;R07SW1-10
R07SW1-11;R07SW1-11
R07SW1-12;R07SW1-12
R07SW1-13;R07SW1-13
R07SW1-14;R07SW1-14
R07SW1-15;R07SW1-15
R07SW1-16;R07SW1-16
R07SW1-17;R07SW1-17
R07SW1-18;R07SW1-18
R07SW1-19;R07SW1-19
R07SW1-20;R07SW1-20
R07SW1-21;R07SW1-21
R07SW1-22;R07SW1-22
R07SW1-23;R07SW1-23
R07SW1-24;R07SW1-24
R08SW1-01;R08SW1-01
R08SW1-02;R08SW1-02
R08SW1-03;R08SW1-03
R08SW1-04;R08SW1-04
R08SW1-05;R08SW1-05
R08SW1-06;R08SW1-06
R08SW1-07;R08SW1-07
R08SW1-08;R08SW1-08
R08SW1-09;R08SW1-09
R08SW1-10;R08SW1-10
R08SW1-11;R08SW1-11
R08SW1-12;R08SW1-12
R08SW1-13;R08SW1-13
R08SW1-14;R08SW1-14
R08SW1-15;R08SW1-15
R08SW1-16;R08SW1-16
R08SW1-17;R08SW1-17
R08SW1-18;R08SW1-18
R08SW1-19;R08SW1-19
R08SW1-20;R08SW1-20
R08SW1-21;R08SW1-21
R08SW1-22;R08SW1-22
R08SW1-23;R08SW1-23
R08SW1-24;R08SW1-24
R09SW1-01;R09SW1-01
R09SW1-02;R09SW1-02
R09SW1-03;R09SW1-03
R09SW1-04;R09SW1-04
R09SW1-05;R09SW1-05
R09SW1-06;R09SW1-06
R09SW1-07;R09SW1-07
R09SW1-08;R09SW1-08
R09SW1-09;R09SW1-09
R09SW1-10;R09SW1-10
R09SW1-11;R09SW1-11
R09SW1-12;R09SW1-12
R09SW1-13;R09SW1-13
R09SW1-14;R09SW1-14
R09SW1-15;R09SW1-15
R09SW1-16;R09SW1-16
R09SW1-17;R09SW1-17
R09SW1-18;R09SW1-18
R09SW1-19;R09SW1-19
R09SW1-20;R09SW1-20
R09SW1-21;R09SW1-21
R09SW1-22;R09SW1-22
R09SW1-23;R09SW1-23
R09SW1-24;R09SW1-24
R09SW1-25;R09SW1-25
R09SW1-26;R09SW1-26
R09SW1-27;R09SW1-27
R09SW1-28;R09SW1-28
R09SW1-29;R09SW1-29
R09SW1-30;R09SW1-30
R09SW1-31;R09SW1-31
R09SW1-32;R09SW1-32
R09SW1-33;R09SW1-33
R09SW1-34;R09SW1-34
R09SW1-35;R09SW1-35
R09SW1-36;R09SW1-36
R09SW1-37;R09SW1-37
R09SW1-38;R09SW1-38
R09SW1-39;R09SW1-39
R09SW1-40;R09SW1-40
R09SW1-41;R09SW1-41
R09SW1-42;R09SW1-42
R09SW1-43;R09SW1-43
R09SW1-44;R09SW1-44
R09SW1-45;R09SW1-45
R09SW1-46;R09SW1-46
R09SW1-47;R09SW1-47
R09SW1-48;R09SW1-48
R10SW1-01;R10SW1-01
R10SW1-02;R10SW1-02
R10SW1-03;R10SW1-03
R10SW1-04;R10SW1-04
R10SW1-05;R10SW1-05
R10SW1-06;R10SW1-06
R10SW1-07;R10SW1-07
R10SW1-08;R10SW1-08
R10SW1-09;R10SW1-09
R10SW1-10;R10SW1-10
R10SW1-11;R10SW1-11
R10SW1-12;R10SW1-12
R10SW1-13;R10SW1-13
R10SW1-14;R10SW1-14
R10SW1-15;R10SW1-15
R10SW1-16;R10SW1-16
R10SW1-17;R10SW1-17
R10SW1-18;R10SW1-18
R10SW1-19;R10SW1-19
R10SW1-20;R10SW1-20
R10SW1-21;R10SW1-21
R10SW1-22;R10SW1-22
R10SW1-23;R10SW1-23
R10SW1-24;R10SW1-24
R11SW1-01;R11SW1-01
R11SW1-02;R11SW1-02
R11SW1-03;R11SW1-03
R11SW1-04;R11SW1-04
R11SW1-05;R11SW1-05
R11SW1-06;R11SW1-06
R11SW1-07;R11SW1-07
R11SW1-08;R11SW1-08
R11SW1-09;R11SW1-09
R11SW1-10;R11SW1-10
R11SW1-11;R11SW1-11
R11SW1-12;R11SW1-12
R11SW1-13;R11SW1-13
R11SW1-14;R11SW1-14
R11SW1-15;R11SW1-15
R11SW1-16;R11SW1-16
R11SW1-17;R11SW1-17
R11SW1-18;R11SW1-18
R11SW1-19;R11SW1-19
R11SW1-20;R11SW1-20
R11SW1-21;R11SW1-21
R11SW1-22;R11SW1-22
R11SW1-23;R11SW1-23
R11SW1-24;R11SW1-24
R11SW1-25;R11SW1-25
R11SW1-26;R11SW1-26
R11SW1-27;R11SW1-27
R11SW1-28;R11SW1-28
R11SW1-29;R11SW1-29
R11SW1-30;R11SW1-30
R11SW1-31;R11SW1-31
R11SW1-32;R11SW1-32
R11SW1-33;R11SW1-33
R11SW1-34;R11SW1-34
R11SW1-35;R11SW1-35
